kinopoiskId,nameRu,nameEn,nameOriginal,countries,genres,ratingKinopoisk,ratingImbd,year,type,posterUrl,posterUrlPreview,userRating
198116,tt0481499,Семейка Крудс,,The Croods,[{'country': 'США'}],"[{'genre': 'приключения'}, {'genre': 'боевик'}, {'genre': 'фэнтези'}, {'genre': 'комедия'}, {'genre': 'мультфильм'}, {'genre': 'семейный'}]",7.6,7.2,2013,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/198116.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/198116.jpg,6
2610,,Белый шквал,,White Squall,"[{'country': 'США'}, {'country': 'Великобритания'}]","[{'genre': 'драма'}, {'genre': 'приключения'}]",7.4,6.6,1995,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/2610.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/2610.jpg,6
102312,tt0449086,Изгоняющий дьявола: Приквел,,Dominion: Prequel to the Exorcist,[{'country': 'США'}],"[{'genre': 'триллер'}, {'genre': 'драма'}, {'genre': 'ужасы'}]",4.7,5.2,2005,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/102312.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/102312.jpg,5
650699,,"Человек, который убил Дон Кихота",,The Man Who Killed Don Quixote,"[{'country': 'США'}, {'country': 'Франция'}, {'country': 'Великобритания'}, {'country': 'Испания'}, {'country': 'Португалия'}, {'country': 'Бельгия'}]","[{'genre': 'драма'}, {'genre': 'приключения'}, {'genre': 'фэнтези'}, {'genre': 'комедия'}]",6.8,6.3,2017,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/650699.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/650699.jpg,6
1040421,tt6486762,Континенталь,,The Continental,[{'country': 'США'}],"[{'genre': 'триллер'}, {'genre': 'криминал'}, {'genre': 'боевик'}]",6.7,7.2,2023,MINI_SERIES,https://kinopoiskapiunofficial.tech/images/posters/kp/1040421.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/1040421.jpg,7
961151,tt5368542,Изгоняющий дьявола,,The Exorcist,[{'country': 'США'}],[{'genre': 'ужасы'}],7.5,7.9,2016,TV_SERIES,https://kinopoiskapiunofficial.tech/images/posters/kp/961151.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/961151.jpg,5
723959,tt2575988,Силиконовая долина,,Silicon Valley,[{'country': 'США'}],[{'genre': 'комедия'}],8.4,8.5,2014,TV_SERIES,https://kinopoiskapiunofficial.tech/images/posters/kp/723959.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/723959.jpg,9
1803,tt0120888,Певец на свадьбе,,The Wedding Singer,[{'country': 'США'}],"[{'genre': 'мелодрама'}, {'genre': 'комедия'}, {'genre': 'музыка'}]",6.9,6.9,1998,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/1803.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/1803.jpg,6
582,tt0276751,Мой мальчик,,About a Boy,"[{'country': 'США'}, {'country': 'Франция'}, {'country': 'Великобритания'}]","[{'genre': 'драма'}, {'genre': 'мелодрама'}, {'genre': 'комедия'}]",7.4,7.1,2002,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/582.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/582.jpg,6
4295117,tt13622776,Асока,,Ahsoka,[{'country': 'США'}],"[{'genre': 'драма'}, {'genre': 'фантастика'}, {'genre': 'приключения'}, {'genre': 'боевик'}, {'genre': 'фэнтези'}]",7.0,7.6,2023,MINI_SERIES,https://kinopoiskapiunofficial.tech/images/posters/kp/4295117.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/4295117.jpg,5
1134493,,Звук свободы,,Sound of Freedom,"[{'country': 'США'}, {'country': 'Мексика'}]","[{'genre': 'триллер'}, {'genre': 'драма'}, {'genre': 'криминал'}]",7.5,7.7,2023,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/1134493.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/1134493.jpg,7
454,tt0181875,Почти знаменит,,Almost Famous,[{'country': 'США'}],"[{'genre': 'драма'}, {'genre': 'приключения'}, {'genre': 'комедия'}, {'genre': 'музыка'}]",7.6,7.9,2000,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/454.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/454.jpg,6
4102,tt0078902,Уходя в отрыв,,Breaking Away,[{'country': 'США'}],"[{'genre': 'драма'}, {'genre': 'комедия'}, {'genre': 'спорт'}]",7.2,7.7,1979,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/4102.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/4102.jpg,6
2544,tt0177789,В поисках галактики,,Galaxy Quest,[{'country': 'США'}],"[{'genre': 'фантастика'}, {'genre': 'приключения'}, {'genre': 'комедия'}]",7.1,7.4,1999,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/2544.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/2544.jpg,6
81525,tt0409182,Посейдон,,Poseidon,[{'country': 'США'}],"[{'genre': 'триллер'}, {'genre': 'приключения'}, {'genre': 'боевик'}]",6.5,5.7,2006,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/81525.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/81525.jpg,6
8177,tt0118928,Пик Данте,,Dante's Peak,[{'country': 'США'}],"[{'genre': 'триллер'}, {'genre': 'приключения'}, {'genre': 'боевик'}]",6.9,6.0,1997,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/8177.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/8177.jpg,6
9298,,Выжить,,Alive,"[{'country': 'США'}, {'country': 'Канада'}]","[{'genre': 'триллер'}, {'genre': 'драма'}, {'genre': 'приключения'}, {'genre': 'история'}]",7.7,7.1,1992,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/9298.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/9298.jpg,6
4499408,tt11858890,Создатель,,The Creator,[{'country': 'США'}],"[{'genre': 'драма'}, {'genre': 'фантастика'}, {'genre': 'боевик'}]",6.6,7.0,2023,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/4499408.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/4499408.jpg,7
251721,,Мисс Марпл: Объявленное убийство,,A Murder Is Announced,"[{'country': 'США'}, {'country': 'Великобритания'}, {'country': 'Австралия'}]","[{'genre': 'драма'}, {'genre': 'криминал'}, {'genre': 'детектив'}]",8.2,8.0,1985,MINI_SERIES,https://kinopoiskapiunofficial.tech/images/posters/kp/251721.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/251721.jpg,6
4079,tt0085333,Кристина,,Christine,[{'country': 'США'}],[{'genre': 'ужасы'}],7.2,6.8,1983,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/4079.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/4079.jpg,6
7459,tt0074285,Кэрри,,Carrie,[{'country': 'США'}],"[{'genre': 'драма'}, {'genre': 'ужасы'}]",7.2,7.4,1976,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/7459.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/7459.jpg,6
1259607,tt10229558,Пустошь тьмы и зла,,The Dark and the Wicked,[{'country': 'США'}],[{'genre': 'ужасы'}],5.6,6.1,2020,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/1259607.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/1259607.jpg,4
542234,tt1696192,Волшебные родители,,"A Fairly Odd Movie: Grow Up, Timmy Turner!","[{'country': 'США'}, {'country': 'Канада'}]","[{'genre': 'фэнтези'}, {'genre': 'комедия'}, {'genre': 'семейный'}]",5.5,3.9,2011,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/542234.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/542234.jpg,4
